Part B sections: 229
   • [Obstetrics & Gynaecology] 02-Menstrual-Physiology | parsed 8 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: []
   • [Obstetrics & Gynaecology] 03-M-Llerian-Anomalies-Infertility | parsed 26 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: []
   • [Obstetrics & Gynaecology] 04-Amenorrhoea-Dsd | parsed 15 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: [2]
   • [Obstetrics & Gynaecology] 05-Aub | parsed 17 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: []
   • [Obstetrics & Gynaecology] 06-Endometriosis-Pcos | parsed 14 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: [2]
   • [Obstetrics & Gynaecology] 07-Urogynaecology | parsed 5 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: []
   • [Obstetrics & Gynaecology] 08-Gynaecological-Oncology | parsed 48 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: []
   • [Obstetrics & Gynaecology] 09-Contraception | parsed 22 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: [2]
   • [Obstetrics & Gynaecology] 10-Basics-Of-Obstetrics | parsed 35 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: []
   • [Obstetrics & Gynaecology] 11-Early-Pregnancy-Complications | parsed 20 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: [1]
   • [Obstetrics & Gynaecology] 12-Medical-Diseases-In-Pregnancy | parsed 38 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: []
   • [Obstetrics & Gynaecology] 13-Twin-Pregnancy | parsed 6 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: [2]
   • [Obstetrics & Gynaecology] 14-Rh-Isoimmunisation | parsed 6 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: [2]
   • [Obstetrics & Gynaecology] 15-Iugr | parsed 3 | idx 0 | missing: [] | extra: [3, 1, 2] | no-ans: [2]
   • [Obstetrics & Gynaecology] 16-Placenta-Antepartum-Haemorrhage | parsed 15 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: []
   • [Obstetrics & Gynaecology] 17-Foetal-Monitoring | parsed 12 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: [2]
   • [Obstetrics & Gynaecology] 18-Pelvis-Skull | parsed 9 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: []
   • [Obstetrics & Gynaecology] 19-Labour-Its-Complications | parsed 67 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: []
   • [Obstetrics & Gynaecology] 20-Pyqs | parsed 217 | idx 25 | missing: [] | extra: [1, 2, 3] | no-ans: [2]
   • [Ophthalmology] 01-Cornea-Sclera | parsed 29 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: [2]
   • [Ophthalmology] 02-Lens-Cataract | parsed 20 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: [2]
   • [Ophthalmology] 03-Uveitis | parsed 6 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: [2]
   • [Ophthalmology] 04-Glaucoma | parsed 17 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: [2]
   • [Ophthalmology] 05-Neuro-Ophthalmology | parsed 29 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: [2]
   • [Ophthalmology] 06-Retina | parsed 42 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: [2]
   • [Ophthalmology] 07-Conjunctiva-Orbit | parsed 33 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: [2]
   • [Ophthalmology] 08-Squint | parsed 4 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: [1]
   • [Ophthalmology] 09-Refractive-Errors | parsed 16 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: [1]
   • [Ophthalmology] 10-Pyqs | parsed 97 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: []
   • [Orthopedics] 01-Clinical-Tests | parsed 10 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: []
   • [Orthopedics] 02-Nerve-Injuries | parsed 18 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: [1]
   • [Orthopedics] 03-Fractures | parsed 48 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: []
   • [Orthopedics] 04-Bone-Infections | parsed 11 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: []
   • [Orthopedics] 05-Spine-Pathologies-Scoliosis | parsed 14 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: []
   • [Orthopedics] 06-Bone-Tumours | parsed 17 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: [2]
   • [Orthopedics] 07-Metabolic-Bone-Diseases | parsed 14 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: []
   • [Orthopedics] 08-Paediatric-Orthopaedics | parsed 20 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: []
   • [Orthopedics] 09-Miscellaneous | parsed 22 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: [1]
   • [Orthopedics] 10-Pyqs | parsed 84 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: []
   • [Pediatrics] 01-Neonatology | parsed 54 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: [2]
   • [Pediatrics] 02-Growth-Nutrition | parsed 33 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: []
   • [Pediatrics] 03-Genetics | parsed 21 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: [1]
   • [Pediatrics] 04-Congenital-Heart-Diseases | parsed 10 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: [2]
   • [Pediatrics] 05-Cystic-Fibrosis-Pneumonia | parsed 12 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: [2]
   • [Pediatrics] 06-Paediatric-Gi-Disorders | parsed 17 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: [1]
   • [Pediatrics] 07-Miscellaneous | parsed 40 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: [2]
   • [Pediatrics] 08-Developmental-Milestones | parsed 8 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: []
   • [Pediatrics] 09-Pyqs | parsed 98 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: []
   • [Preventive & Social Medicine] 01-Epidemiology | parsed 80 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: []
   • [Preventive & Social Medicine] 02-Biostatistics | parsed 64 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: [2]
   • [Preventive & Social Medicine] 03-Vaccines | parsed 37 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: [2]
   • [Preventive & Social Medicine] 04-Demography | parsed 38 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: [2]
   • [Preventive & Social Medicine] 05-Nutrition | parsed 20 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: [2]
   • [Preventive & Social Medicine] 06-Health-Programmes | parsed 48 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: [2]
   • [Preventive & Social Medicine] 07-Environment | parsed 32 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: []
   • [Preventive & Social Medicine] 08-Miscellaneous | parsed 30 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: []
   • [Preventive & Social Medicine] 09-Pyqs | parsed 174 | idx 0 | missing: [] | extra: [1, 2, 3] | no-ans: [2]
   • [Psychiatry] 01-Basics-Of-Psychiatry | parsed 26 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: []
   • [Psychiatry] 02-Psychotic-Disorders-Antipsychotics | parsed 22 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: []
   • [Psychiatry] 03-Mood-Disorders-Antidepressants | parsed 32 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: [2]
   • [Psychiatry] 04-Anxiety-Related-Disorders | parsed 18 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: [2]
   • [Psychiatry] 05-Childhood-Psychiatry | parsed 13 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: []
   • [Psychiatry] 06-Sleep-Related-Disorders | parsed 6 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: [2]
   • [Psychiatry] 07-Miscellaneous | parsed 24 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: [2]
   • [Psychiatry] 08-Pyqs | parsed 57 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: []
   • [Radiology] 01-General-Radiology | parsed 20 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: []
   • [Radiology] 02-Gi-Hbp-Radiology | parsed 22 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: [1]
   • [Radiology] 03-Gu-Radiology | parsed 18 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: [1]
